=== /attractions/ family — remove reclassified + add ===
  attractions: 67 → 67 cards (removed 0, added 0, dropped 0 empty sections, 30 communes)
  en/attractions: 67 → 67 cards (removed 0, added 0, dropped 0 empty sections, 31 communes)
  de/attraktionen: 67 → 67 cards (removed 0, added 0, dropped 0 empty sections, 31 communes)
  it/attrazioni: 67 → 67 cards (removed 0, added 0, dropped 0 empty sections, 31 communes)
  es/atraciones: 67 → 67 cards (removed 0, added 0, dropped 0 empty sections, 31 communes)
=== /bases-de-loisirs/ family — add reclassified ===
  bases-de-loisirs: 79 → 80 cards (removed 0, added 1, dropped 0 empty sections, 50 communes)
  en/leisure-parks: 76 → 77 cards (removed 0, added 1, dropped 0 empty sections, 48 communes)
  de/freizeitparks: 76 → 77 cards (removed 0, added 1, dropped 0 empty sections, 48 communes)
  it/aree-recreative: 76 → 77 cards (removed 0, added 1, dropped 0 empty sections, 48 communes)
  es/areas-de-ocio: 76 → 77 cards (removed 0, added 1, dropped 0 empty sections, 48 communes)
=== /divers/ family — add reclassified ===
  divers: 29 → 29 cards (removed 0, added 0, dropped 0 empty sections, 19 communes)
  en/other: 29 → 29 cards (removed 0, added 0, dropped 0 empty sections, 19 communes)
  de/sonstiges: 29 → 29 cards (removed 0, added 0, dropped 0 empty sections, 19 communes)
  it/altro: 29 → 29 cards (removed 0, added 0, dropped 0 empty sections, 19 communes)
  es/otros: 29 → 29 cards (removed 0, added 0, dropped 0 empty sections, 19 communes)
=== other hubs — additive only (no removals) ===
  lacs: 20 → 20 cards (removed 0, added 0, dropped 0 empty sections, 0 communes)
  en/lakes: 20 → 20 cards (removed 0, added 0, dropped 0 empty sections, 0 communes)
  de/seen: 20 → 20 cards (removed 0, added 0, dropped 0 empty sections, 0 communes)
  it/laghi: 20 → 20 cards (removed 0, added 0, dropped 0 empty sections, 0 communes)
  es/lagos: 20 → 20 cards (removed 0, added 0, dropped 0 empty sections, 0 communes)
  plages: 23 → 23 cards (removed 0, added 0, dropped 0 empty sections, 0 communes)
  en/beaches: 23 → 23 cards (removed 0, added 0, dropped 0 empty sections, 0 communes)
  de/straende: 23 → 23 cards (removed 0, added 0, dropped 0 empty sections, 0 communes)
  it/spiagge: 23 → 23 cards (removed 0, added 0, dropped 0 empty sections, 0 communes)
  es/playas: 23 → 23 cards (removed 0, added 0, dropped 0 empty sections, 0 communes)
  cascades: 16 → 16 cards (removed 0, added 0, dropped 0 empty sections, 13 communes)
  en/waterfalls: 15 → 15 cards (removed 0, added 0, dropped 0 empty sections, 12 communes)
  de/wasserfaelle: 15 → 15 cards (removed 0, added 0, dropped 0 empty sections, 12 communes)
  it/cascate: 15 → 15 cards (removed 0, added 0, dropped 0 empty sections, 12 communes)
  es/cascadas: 15 → 15 cards (removed 0, added 0, dropped 0 empty sections, 12 communes)
  points-de-vue: 28 → 28 cards (removed 0, added 0, dropped 0 empty sections, 24 communes)
  en/viewpoints: 18 → 18 cards (removed 0, added 0, dropped 0 empty sections, 14 communes)
  de/aussichtspunkte: 18 → 18 cards (removed 0, added 0, dropped 0 empty sections, 14 communes)
  it/punti-panoramici: 18 → 18 cards (removed 0, added 0, dropped 0 empty sections, 14 communes)
  es/miradores: 18 → 18 cards (removed 0, added 0, dropped 0 empty sections, 14 communes)
  sentiers: 15 → 15 cards (removed 0, added 0, dropped 0 empty sections, 13 communes)
  en/trails: 15 → 15 cards (removed 0, added 0, dropped 0 empty sections, 13 communes)
  de/wanderwege: 15 → 15 cards (removed 0, added 0, dropped 0 empty sections, 13 communes)
  it/sentieri: 15 → 15 cards (removed 0, added 0, dropped 0 empty sections, 13 communes)
  es/senderos: 15 → 15 cards (removed 0, added 0, dropped 0 empty sections, 13 communes)
  voies-vertes: 5 → 5 cards (removed 0, added 0, dropped 0 empty sections, 4 communes)
  en/greenways: 5 → 5 cards (removed 0, added 0, dropped 0 empty sections, 4 communes)
  de/radwege: 5 → 5 cards (removed 0, added 0, dropped 0 empty sections, 4 communes)
  it/vie-verdi: 5 → 5 cards (removed 0, added 0, dropped 0 empty sections, 4 communes)
  es/vias-verdes: 5 → 5 cards (removed 0, added 0, dropped 0 empty sections, 4 communes)
  telecabines: 12 → 12 cards (removed 0, added 0, dropped 0 empty sections, 7 communes)
  en/cable-cars: 12 → 12 cards (removed 0, added 0, dropped 0 empty sections, 7 communes)
  de/seilbahnen: 12 → 12 cards (removed 0, added 0, dropped 0 empty sections, 7 communes)
  it/funivie: 12 → 12 cards (removed 0, added 0, dropped 0 empty sections, 7 communes)
  es/telefericos: 12 → 12 cards (removed 0, added 0, dropped 0 empty sections, 7 communes)
  musees: 25 → 25 cards (removed 0, added 0, dropped 0 empty sections, 16 communes)
  en/museums: 25 → 25 cards (removed 0, added 0, dropped 0 empty sections, 16 communes)
  de/museen: 25 → 25 cards (removed 0, added 0, dropped 0 empty sections, 16 communes)
  it/musei: 25 → 25 cards (removed 0, added 0, dropped 0 empty sections, 16 communes)
  es/museos: 25 → 25 cards (removed 0, added 0, dropped 0 empty sections, 16 communes)
  chateaux: 19 → 19 cards (removed 0, added 0, dropped 0 empty sections, 16 communes)
  en/castles: 21 → 21 cards (removed 0, added 0, dropped 0 empty sections, 19 communes)
  de/schloesser: 21 → 21 cards (removed 0, added 0, dropped 0 empty sections, 19 communes)
  it/castelli: 21 → 21 cards (removed 0, added 0, dropped 0 empty sections, 19 communes)
  es/castillos: 21 → 21 cards (removed 0, added 0, dropped 0 empty sections, 19 communes)
